rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
58,Ryan Babel,nl NED,"MF,FW",Galatasaray,32,1986,13.8,,,,,,,,,,,,,,,,,,,,,Matches
59,Baiano,br BRA,DF,Alanyaspor,32,1987,9.8,,,,,,,,,,,,,,,,,,,,,Matches
60,Fabrício Baiano,br BRA,MF,Gençlerbirliği,27,1992,21.5,,,,,,,,,,,,,,,,,,,,,Matches
61,Riad Bajić,ba BIH,FW,Konyaspor,25,1994,19.3,,,,,,,,,,,,,,,,,,,,,Matches
62,Anastasios Bakasetas,gr GRE,MF,Alanyaspor,26,1993,31.4,,,,,,,,,,,,,,,,,,,,,Matches
63,Göktuğ Bakırbaş,tr TUR,GK,Göztepe,23,1996,5.4,,,,,,,,,,,,,,,,,,,,,Matches
64,Bünyamin Balcı,tr TUR,"DF,MF",Antalyaspor,19,2000,14.2,,,,,,,,,,,,,,,,,,,,,Matches
65,Yacine Bammou,ma MAR,"MF,FW",Alanyaspor,27,1991,7.0,,,,,,,,,,,,,,,,,,,,,Matches
66,Modou Barrow,gm GAM,MF,Denizlispor,26,1992,20.8,,,,,,,,,,,,,,,,,,,,,Matches
67,Bilal Başaçıkoğlu,tr TUR,"MF,FW",Kayserispor,24,1995,5.4,,,,,,,,,,,,,,,,,,,,,Matches
68,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Trabzonspor,24,1995,0.9,,,,,,,,,,,,,,,,,,,,,Matches
69,Altay Bayındır,tr TUR,GK,Fenerbahçe,21,1998,32.0,,,,,,,,,,,,,,,,,,,,,Matches
70,Emin Bayram,tr TUR,DF,Galatasaray,16,2003,1.6,,,,,,,,,,,,,,,,,,,,,Matches
71,Ömer Bayram,tr TUR,MF,Galatasaray,28,1991,25.1,,,,,,,,,,,,,,,,,,,,,Matches
72,Aziz Behich,au AUS,DF,Başakşehir,28,1990,4.1,,,,,,,,,,,,,,,,,,,,,Matches
73,Mike van Beijnen,nl NED,DF,Gençlerbirliği,20,1999,0.0,,,,,,,,,,,,,,,,,,,,,Matches
74,Younès Belhanda,ma MAR,MF,Galatasaray,29,1990,19.5,,,,,,,,,,,,,,,,,,,,,Matches
75,Emre Belözoğlu,tr TUR,MF,Fenerbahçe,38,1980,15.9,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
76,Syam Ben Youssef,tn TUN,DF,Denizlispor,30,1989,3.0,,,,,,,,,,,,,,,,,,,,,Matches
77,Syam Ben Youssef,tn TUN,DF,Kasımpaşa,30,1989,15.0,,,,,,,,,,,,,,,,,,,,,Matches
78,Zakarya Bergdich,ma MAR,DF,Denizlispor,30,1989,21.5,,,,,,,,,,,,,,,,,,,,,Matches
79,Rahmetullah Berişbek,tr TUR,MF,Gençlerbirliği,20,1999,3.9,,,,,,,,,,,,,,,,,,,,,Matches
80,Beto,pt POR,GK,Göztepe,37,1982,28.5,,,,,,,,,,,,,,,,,,,,,Matches
81,Thievy Bifouma,cg CGO,"MF,FW",Yeni Mal'spor,27,1992,16.2,,,,,,,,,,,,,,,,,,,,,Matches
82,Tayfur Bingöl,tr TUR,"DF,MF",Alanyaspor,26,1993,0.1,,,,,,,,,,,,,,,,,,,,,Matches
83,André Biyogo Poko,ga GAB,MF,Göztepe,26,1993,10.6,,,,,,,,,,,,,,,,,,,,,Matches
84,Mattias Bjärsmyr,se SWE,DF,Gençlerbirliği,33,1986,7.0,,,,,,,,,,,,,,,,,,,,,Matches
85,Gustavo Blanco Leschuk,ar ARG,FW,Antalyaspor,27,1991,14.9,,,,,,,,,,,,,,,,,,,,,Matches
86,Kevin-Prince Boateng,gh GHA,MF,Beşiktaş,32,1987,6.6,,,,,,,,,,,,,,,,,,,,,Matches
87,Ruud Boffin,be BEL,GK,Antalyaspor,31,1987,23.0,,,,,,,,,,,,,,,,,,,,,Matches
88,Fernando Boldrin,br BRA,"MF,FW",Rizespor,30,1989,29.0,,,,,,,,,,,,,,,,,,,,,Matches
89,Celso Borges,cr CRC,"MF,DF",Göztepe,31,1988,12.3,,,,,,,,,,,,,,,,,,,,,Matches
90,Andriy Boryachuk,ua UKR,"DF,FW",Rizespor,23,1996,0.4,,,,,,,,,,,,,,,,,,,,,Matches
91,Tyler Boyd,us USA,MF,Beşiktaş,24,1994,12.4,,,,,,,,,,,,,,,,,,,,,Matches
92,Tomáš Břečka,cz CZE,DF,Kasımpaşa,25,1994,9.1,,,,,,,,,,,,,,,,,,,,,Matches
93,Onur Bulut,tr TUR,"DF,MF",Alanyaspor,25,1994,13.7,,,,,,,,,,,,,,,,,,,,,Matches
94,Umut Bulut,tr TUR,"MF,FW",Kayserispor,36,1983,10.0,,,,,,,,,,,,,,,,,,,,,Matches
95,Umut Bulut,tr TUR,"FW,MF",Yeni Mal'spor,36,1983,13.8,,,,,,,,,,,,,,,,,,,,,Matches
96,Adem Büyük,tr TUR,FW,Galatasaray,31,1987,13.7,,,,,,,,,,,,,,,,,,,,,Matches
97,Musa Çağıran,tr TUR,MF,Alanyaspor,26,1992,5.7,,,,,,,,,,,,,,,,,,,,,Matches
98,Rahman Çağıran,tr TUR,MF,Yeni Mal'spor,24,1995,1.4,,,,,,,,,,,,,,,,,,,,,Matches
99,Oğulcan Çağlayan,tr TUR,"FW,MF",Rizespor,23,1996,14.6,,,,,,,,,,,,,,,,,,,,,Matches
100,Júnior Caiçara,br BRA,DF,Başakşehir,30,1989,33.0,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
101,Uğurcan Çakır,tr TUR,GK,Trabzonspor,23,1996,32.1,,,,,,,,,,,,,,,,,,,,,Matches
102,Burak Çalık,tr TUR,MF,Denizlispor,30,1989,1.0,,,,,,,,,,,,,,,,,,,,,Matches
103,Samba Camara,ml MLI,DF,Sivasspor,26,1992,2.6,,,,,,,,,,,,,,,,,,,,,Matches
104,Tarık Çamdal,tr TUR,"DF,MF",Antalyaspor,28,1991,3.1,,,,,,,,,,,,,,,,,,,,,Matches
105,Ali Çamdalı,,MF,Konyaspor,35,1984,0.6,,,,,,,,,,,,,,,,,,,,,Matches
106,Gustavo Campanharo,br BRA,MF,Kayserispor,27,1992,14.1,,,,,,,,,,,,,,,,,,,,,Matches
107,Gastón Campi,ar ARG,DF,Trabzonspor,28,1991,22.8,,,,,,,,,,,,,,,,,,,,,Matches
108,Djalma Campos,ao ANG,MF,Alanyaspor,32,1987,11.6,,,,,,,,,,,,,,,,,,,,,Matches
109,Mücahit Can Akçay,tr TUR,FW,Konyaspor,21,1998,1.2,,,,,,,,,,,,,,,,,,,,,Matches
110,Ahmet Can Arık,tr TUR,DF,Ankaragücü,21,1997,0.0,,,,,,,,,,,,,,,,,,,,,Matches
111,Ahmet Canbaz,tr TUR,MF,Trabzonspor,21,1998,0.8,,,,,,,,,,,,,,,,,,,,,Matches
112,Daniel Candeias,pt POR,MF,Gençlerbirliği,31,1988,29.9,,,,,,,,,,,,,,,,,,,,,Matches
113,Héctor Canteros,ar ARG,MF,Ankaragücü,30,1989,11.7,,,,,,,,,,,,,,,,,,,,,Matches
114,Oğuzhan Çapar,,DF,Kayserispor,22,1996,1.0,,,,,,,,,,,,,,,,,,,,,Matches
115,Burak Çapkınoğlu,,GK,Gençlerbirliği,24,1995,0.5,,,,,,,,,,,,,,,,,,,,,Matches
116,José Carlos Marafona,pt POR,GK,Alanyaspor,32,1987,33.0,,,,,,,,,,,,,,,,,,,,,Matches
117,André Castro,pt POR,MF,Göztepe,31,1988,23.5,,,,,,,,,,,,,,,,,,,,,Matches
118,Steven Caulker,sl SLE,DF,Alanyaspor,27,1991,28.1,,,,,,,,,,,,,,,,,,,,,Matches
119,Özgür Çek,tr TUR,"DF,MF",Denizlispor,28,1991,6.7,,,,,,,,,,,,,,,,,,,,,Matches
120,Özgür Çek,tr TUR,DF,Kasımpaşa,28,1991,3.2,,,,,,,,,,,,,,,,,,,,,Matches
121,Alpay Çelebi,tr TUR,DF,Kayserispor,20,1999,0.0,,,,,,,,,,,,,,,,,,,,,Matches
122,Muğdat Çelik,tr TUR,FW,Gaziantep FK,29,1990,0.6,,,,,,,,,,,,,,,,,,,,,Matches
123,Korcan Çelikay,tr TUR,GK,Ankaragücü,31,1987,21.0,,,,,,,,,,,,,,,,,,,,,Matches
124,Ondřej Čelůstka,cz CZE,DF,Antalyaspor,30,1989,23.2,,,,,,,,,,,,,,,,,,,,,Matches
125,Tarık Çetin,tr TUR,GK,Rizespor,22,1997,7.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
126,Oğuz Ceylan,tr TUR,"DF,MF",Gaziantep FK,28,1990,30.0,,,,,,,,,,,,,,,,,,,,,Matches
127,Ghaylène Chaalali,tn TUN,MF,Yeni Mal'spor,25,1994,6.4,,,,,,,,,,,,,,,,,,,,,Matches
128,Aatif Chahechouhe,ma MAR,"MF,FW",Antalyaspor,33,1986,11.8,,,,,,,,,,,,,,,,,,,,,Matches
129,Dimitris Chatziisaias,gr GRE,DF,Rizespor,26,1992,7.6,,,,,,,,,,,,,,,,,,,,,Matches
130,Issam Chebake,ma MAR,DF,Yeni Mal'spor,29,1989,24.1,,,,,,,,,,,,,,,,,,,,,Matches
131,Aurélien Chedjou,cm CMR,DF,Başakşehir,34,1985,2.0,,,,,,,,,,,,,,,,,,,,,Matches
132,Raman Chibsah,gh GHA,MF,Gaziantep FK,26,1993,12.5,,,,,,,,,,,,,,,,,,,,,Matches
133,Chico,br BRA,"MF,DF",Antalyaspor,32,1987,12.8,,,,,,,,,,,,,,,,,,,,,Matches
134,Nadir Çiftçi,nl NED,"MF,FW",Gençlerbirliği,27,1992,5.2,,,,,,,,,,,,,,,,,,,,,Matches
135,Uğur Çiftçi,tr TUR,DF,Sivasspor,27,1992,26.6,,,,,,,,,,,,,,,,,,,,,Matches
136,Sadık Çiftpınar,tr TUR,DF,Fenerbahçe,26,1993,1.5,,,,,,,,,,,,,,,,,,,,,Matches
137,Tolga Ciğerci,tr TUR,MF,Fenerbahçe,27,1992,18.3,,,,,,,,,,,,,,,,,,,,,Matches
138,Orkan Çınar,tr TUR,MF,Beşiktaş,23,1996,0.5,,,,,,,,,,,,,,,,,,,,,Matches
139,Orkan Çınar,tr TUR,MF,Ankaragücü,23,1996,0.5,,,,,,,,,,,,,,,,,,,,,Matches
140,Şamil Çinaz,tr TUR,MF,Kayserispor,33,1986,4.1,,,,,,,,,,,,,,,,,,,,,Matches
141,İsmail Çipe,tr TUR,GK,Kayserispor,24,1995,5.0,,,,,,,,,,,,,,,,,,,,,Matches
142,Papiss Cissé,sn SEN,FW,Alanyaspor,34,1985,30.4,,,,,,,,,,,,,,,,,,,,,Matches
143,Emirhan Civelek,tr TUR,DF,Kayserispor,19,2000,1.0,,,,,,,,,,,,,,,,,,,,,Matches
