rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
14,Thiago Acosta,ar ARG,MF,River Plate,20-245,2005,2,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2,8,2,0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.24,0.05,0.24,Matches
15,Marcos Acuña,ar ARG,DF,River Plate,34-000,1991,21,19,1623,18.0,0,1,1,0,0,0,8,0,0.5,0.5,2.1,2.6,47,106,85,0.00,0.06,0.06,0.00,0.06,0.03,0.12,0.14,0.03,0.14,Matches
16,Valentino Acuña,ar ARG,"MF,FW",Newell's OB,19-274,2006,8,1,242,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,6,8,4,0.37,0.00,0.37,0.37,0.37,0.17,0.04,0.21,0.17,0.21,Matches
17,Tomás Adoryán,am ARM,"MF,FW",Banfield,24-036,2001,21,12,990,11.0,1,1,2,1,0,0,5,0,1.6,1.6,1.0,2.6,24,60,55,0.09,0.09,0.18,0.09,0.18,0.14,0.09,0.23,0.14,0.23,Matches
18,Luis Advíncula,pe PER,DF,Boca Juniors,35-240,1990,18,10,1024,11.4,1,1,2,1,0,0,3,0,0.7,0.7,0.7,1.4,19,44,58,0.09,0.09,0.18,0.09,0.18,0.06,0.06,0.12,0.06,0.12,Matches
19,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,35-066,1990,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Mateo Aguiar,ar ARG,"MF,DF",Defensa y Just,18-224,2007,3,0,40,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
21,Emanuel Aguilera,ar ARG,DF,Defensa y Just,36-139,1989,17,14,1179,13.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,9,56,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
22,Brian Aguirre,ar ARG,"MF,FW",Boca Juniors,22-149,2003,16,10,732,8.1,1,2,3,1,0,0,0,0,1.2,1.2,1.1,2.3,25,22,65,0.12,0.25,0.37,0.12,0.37,0.14,0.14,0.28,0.14,0.28,Matches
23,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,24-066,2001,15,7,601,6.7,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,14,28,34,0.15,0.00,0.15,0.15,0.15,0.13,0.05,0.18,0.13,0.18,Matches
24,Gabriel Alanís,ar ARG,FW,Huracán,31-226,1994,18,13,1067,11.9,0,0,0,0,0,0,0,0,1.2,1.2,1.3,2.5,15,8,75,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21,Matches
25,Agustín Alaniz,uy URU,"FW,MF",Banfield,23-165,2002,21,11,1091,12.1,2,2,4,2,0,0,2,0,1.9,1.9,2.0,3.9,37,26,75,0.16,0.16,0.33,0.16,0.33,0.16,0.17,0.32,0.16,0.32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
