rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
11,Leandro Brey,ar ARG,GK,Boca Juniors,23-037,2002,3.0,2,0,0,2,0,2.7,0.28,+0.7,+0.25,7,21,33.3,61,15,23.0,29.2,17,41.2,43.8,63,1,1.6,2,0.66,12.8,Matches
12,Jorge Broun,ar ARG,GK,Rosario Central,39-155,1986,26.0,14,1,1,0,1,17.3,0.24,+4.3,+0.17,142,289,49.1,449,110,39.0,35.2,231,49.4,40.1,397,17,4.3,4,0.15,9.6,Matches
13,Javier Burrai,ec ECU,GK,Talleres,35-019,1990,1.5,1,0,0,1,0,0.3,0.06,-0.7,-0.50,10,22,45.5,45,4,33.3,32.0,15,46.7,39.7,34,1,2.9,2,1.33,15.7,Matches
14,Facundo Cambeses,ar ARG,GK,Racing Club,28-202,1997,11.7,9,0,0,1,0,11.7,0.24,+2.7,+0.23,62,183,33.9,263,42,41.8,37.4,112,65.2,51.7,189,6,3.2,7,0.60,13.5,Matches
15,Thiago Cardozo,uy URU,GK,Belgrano,29-089,1996,13.0,10,0,0,1,1,13.8,0.28,+4.8,+0.37,76,216,35.2,291,39,48.8,40.0,90,82.2,58.1,216,13,6.0,2,0.15,9.6,Matches
16,Thiago Cardozo,uy URU,GK,Unión,29-089,1996,14.0,16,2,0,4,0,16.5,0.30,+0.5,+0.04,47,136,34.6,248,66,37.1,36.2,98,44.9,41.4,180,7,3.9,6,0.43,12.6,Matches
17,Jorge Carranza,ar ARG,GK,Aldosivi,44-174,1981,25.0,35,4,0,3,1,29.2,0.24,-4.8,-0.19,125,328,38.1,504,102,44.4,37.3,174,59.8,44.0,362,21,5.8,23,0.92,12.9,Matches
18,Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,28-161,1997,29.0,31,5,0,1,3,32.5,0.23,+4.5,+0.16,170,504,33.7,592,105,49.7,41.4,250,84.0,59.7,536,27,5.0,14,0.48,11.9,Matches
19,Juan Cozzani,ar ARG,GK,Platense,27-019,1998,21.0,16,2,0,3,2,21.5,0.27,+7.5,+0.35,115,409,28.1,407,31,70.0,48.9,134,92.5,65.1,311,14,4.5,21,1.00,16.1,Matches
20,Álvaro David Montero,co COL,GK,Vélez Sarsfield,30-213,1995,1.7,1,0,0,1,0,1.1,0.19,+0.1,+0.07,11,33,33.3,24,5,58.3,46.5,20,95.0,64.1,50,2,4.0,0,0.00,3.2,Matches
