rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
768,Cristian Torres,ar ARG,"FW,MF",Cen. Córdoba–SdE,23,1999,8.1,275,10,36,122,121,20,275,15,5,33.3,9,60.0,141,735,289,9,8,3,41,18,183,41,Matches
769,Franco Torres,ar ARG,"FW,MF",Gimnasia–LP,23,1999,5.9,209,2,22,71,120,18,209,22,10,45.5,9,40.9,124,699,355,12,10,1,21,11,144,52,Matches
770,Nicolás Tripichio,ar ARG,"MF,DF",Defensa y Just,27,1996,9.1,493,17,117,237,145,16,493,26,13,50.0,13,50.0,264,1470,697,20,21,2,16,13,297,38,Matches
771,Natanael Troncoso,ar ARG,"MF,FW",Colón,21,2001,3.2,165,4,19,92,56,8,165,14,5,35.7,9,64.3,93,436,190,4,2,1,9,5,113,19,Matches
772,Franco Troyansky,ar ARG,FW,Lanús,25,1997,11.3,428,6,58,175,200,43,427,47,18,38.3,28,59.6,235,1182,457,18,13,6,41,20,291,86,Matches
773,Silvio Ulariaga,ar ARG,"MF,FW",Godoy Cruz,20,2002,1.0,29,1,1,19,9,2,29,2,1,50.0,0,0.0,15,69,19,0,0,0,4,4,20,5,Matches
774,Ezequiel Unsain,ar ARG,GK,Defensa y Just,27,1995,21.0,852,656,841,10,1,1,852,0,0,,0,,477,2921,1893,0,0,0,1,0,362,0,Matches
775,Agustín Urzi,ar ARG,MF,Banfield,22,2000,0.7,26,0,3,9,15,1,26,4,2,50.0,1,25.0,23,189,57,3,3,0,6,3,18,6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
776,Bruno Valdez,py PAR,DF,Boca Juniors,30,1992,14.8,1076,104,503,549,29,20,1076,8,5,62.5,3,37.5,611,2884,1777,6,3,1,11,1,675,2,Matches
777,Sebastián Valdez,ar ARG,DF,Cen. Córdoba–SdE,27,1995,0.7,49,1,17,31,1,0,49,1,0,0.0,1,100.0,33,184,104,0,0,0,0,1,31,0,Matches
778,Gonzalo Valdivia,ar ARG,"MF,DF",Platense,21,2001,2.5,82,6,17,27,39,7,82,5,2,40.0,2,40.0,40,215,79,5,1,3,8,5,39,11,Matches
779,Nicolás Valentini,ar ARG,DF,Boca Juniors,21,2001,11.2,796,70,368,408,23,8,796,7,3,42.9,3,42.9,462,2462,1763,6,5,0,3,1,528,2,Matches
780,Nicolás Vallejo,ar ARG,"MF,FW",Independiente,19,2004,12.7,458,10,49,173,250,52,458,59,23,39.0,27,45.8,279,1844,721,31,23,14,31,21,282,97,Matches
781,Diego Valoyes,co COL,FW,Talleres,26,1996,17.9,822,29,105,340,399,96,821,118,55,46.6,55,46.6,512,3523,1755,55,37,21,67,25,571,177,Matches
782,Claudio Valverde,ar ARG,MF,Godoy Cruz,20,2002,1.0,53,2,11,24,18,4,53,1,0,0.0,1,100.0,25,98,30,2,2,1,3,1,31,6,Matches
