rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
81,Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26.0,979,739,231,53,0,4,0,0,0,0,0,0,721,9,0,Matches
82,Timothy Chandler,us USA,"DF,MF",Eint Frankfurt,29,1990,13.6,468,400,67,5,0,6,64,62,0,0,0,0,281,1,14,Matches
83,Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,25,1994,7.5,272,267,2,0,2,2,18,2,0,0,0,0,192,3,7,Matches
84,Darko Churlinov,mk MKD,MF,Köln,19,2000,0.2,10,10,0,0,0,0,2,0,0,0,0,0,7,0,1,Matches
85,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,32,1987,18.1,731,704,24,17,0,3,5,6,0,0,0,0,600,3,9,Matches
86,Christian Clemens,de GER,FW,Köln,27,1991,0.2,4,3,1,0,0,0,1,0,1,0,1,0,2,0,1,Matches
87,Jamilu Collins,ng NGA,DF,Paderborn 07,24,1994,29.6,1770,1436,324,20,1,7,41,304,0,0,0,0,1307,10,68,Matches
88,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,23,1996,16.7,787,779,5,0,3,7,75,3,2,0,0,0,599,3,25,Matches
89,Jhon Córdoba,co COL,FW,Köln,26,1993,22.2,423,375,47,0,1,2,10,1,0,0,0,0,317,1,12,Matches
90,Sergio Córdova,ve VEN,FW,Augsburg,21,1997,4.1,78,71,6,0,0,1,2,0,0,0,0,0,51,1,2,Matches
91,Danny da Costa,de GER,"DF,FW",Eint Frankfurt,26,1993,15.4,636,522,109,1,1,2,83,108,0,0,0,0,417,5,30,Matches
92,Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,27,1992,15.7,857,792,60,12,10,6,41,10,27,21,2,0,691,5,14,Matches
93,Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,19,1999,3.4,193,173,20,4,0,1,15,2,13,5,5,0,155,0,5,Matches
94,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,20,1999,8.3,170,158,10,5,1,8,5,1,1,0,0,0,108,2,2,Matches
