rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
89,Jhon Córdoba,co COL,FW,Köln,26,1993,22.2,10,7,2,5,3,3,13,10,19,1,18,5,15,17,0,Matches
90,Sergio Córdova,ve VEN,FW,Augsburg,21,1997,4.1,3,0,0,2,1,1,10,9,0,0,0,0,3,3,0,Matches
91,Danny da Costa,de GER,"DF,FW",Eint Frankfurt,26,1993,15.4,26,17,14,8,4,6,16,10,16,1,15,15,41,26,0,Matches
92,Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,27,1992,15.7,21,15,1,13,7,2,13,11,9,2,7,6,27,0,0,Matches
93,Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,19,1999,3.4,2,1,0,2,0,1,9,8,1,1,0,3,5,0,0,Matches
94,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,20,1999,8.3,10,5,6,4,0,4,11,7,11,1,10,10,20,1,0,Matches
95,Matheus Cunha,br BRA,"FW,MF",RB Leipzig,20,1999,3.1,6,2,0,1,5,0,2,2,5,1,4,1,7,0,0,Matches
96,Rafael Czichos,de GER,DF,Köln,29,1990,24.5,43,34,26,16,1,22,45,23,24,13,11,35,78,110,1,Matches
97,Moanes Dabbur,il ISR,FW,Hoffenheim,27,1992,8.5,8,5,1,3,4,3,10,7,6,2,4,4,12,1,0,Matches
98,Mahmoud Dahoud,de GER,MF,Dortmund,23,1996,6.2,10,6,4,4,2,6,18,12,8,2,6,8,18,4,0,Matches
99,Leon Dajaku,de GER,"DF,MF",Bayern Munich,18,2001,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Matches
100,Vladimír Darida,cz CZE,MF,Hertha BSC,28,1990,25.1,51,28,14,31,6,11,48,37,44,7,37,27,78,19,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Alphonso Davies,ca CAN,DF,Bayern Munich,18,2000,24.8,70,43,35,24,11,38,58,20,35,6,29,31,101,51,0,Matches
102,Thomas Delaney,dk DEN,MF,Dortmund,27,1991,9.2,22,10,10,11,1,9,15,6,16,7,9,26,48,26,0,Matches
103,Kerem Demirbay,de GER,MF,Leverkusen,26,1993,17.5,35,19,10,21,4,12,31,19,19,5,14,22,57,7,1,Matches
104,Diego Demme,de GER,MF,RB Leipzig,27,1991,13.5,41,18,17,19,5,17,42,25,14,2,12,15,56,14,0,Matches
105,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,20,1999,19.7,10,8,3,7,0,5,15,10,6,0,6,9,19,4,0,Matches
106,Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,21,1998,14.5,15,8,11,1,3,5,13,8,20,0,20,18,33,10,0,Matches
107,Ji Dong-won,kr KOR,"FW,MF",Mainz 05,28,1991,1.1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,Matches
108,Bas Dost,nl NED,FW,Eint Frankfurt,30,1989,16.4,11,7,1,7,3,3,7,4,6,2,4,5,16,22,0,Matches
109,Mamadou Doucouré,fr FRA,MF,Gladbach,21,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Mohamed Dräger,tn TUN,DF,Paderborn 07,23,1996,16.2,32,21,22,8,2,14,33,19,17,5,12,18,50,39,0,Matches
111,Aleksandar Dragović,at AUT,DF,Leverkusen,28,1991,11.4,18,11,11,6,1,10,21,11,9,3,6,15,33,39,0,Matches
112,Dominick Drexler,de GER,"MF,FW",Köln,29,1990,17.6,34,25,12,19,3,8,32,24,11,5,6,26,60,11,0,Matches
113,Ondrej Duda,sk SVK,MF,Hertha BSC,24,1994,5.0,6,4,1,2,3,1,10,9,3,1,2,5,11,5,0,Matches
114,Erik Durm,de GER,"DF,FW",Eint Frankfurt,27,1992,5.7,13,6,9,2,2,9,17,8,11,2,9,3,16,11,0,Matches
