rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
11,Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,24,20,1771,19.7,3,0,3,3,0,0,7,0,2.4,2.4,0.9,3.3,27,230,43,0.15,0.00,0.15,0.15,0.15,0.12,0.05,0.17,0.12,0.17,Matches
12,Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,30,22,1857,20.6,1,2,3,1,0,0,3,0,2.2,2.2,6.3,8.4,53,106,95,0.05,0.10,0.15,0.05,0.15,0.10,0.30,0.41,0.10,0.41,Matches
13,Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,3,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
14,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,12,5,500,5.6,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,23,12,50,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.19,0.13,0.19,Matches
15,Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,33,31,2682,29.8,12,1,13,11,1,2,5,0,11.9,10.3,1.9,12.2,34,54,204,0.40,0.03,0.44,0.37,0.40,0.40,0.06,0.46,0.35,0.41,Matches
16,Robert Andrich,de GER,MF,Union Berlin,24,1994,30,30,2572,28.6,1,2,3,1,0,0,13,1,2.6,2.6,2.1,4.7,25,151,31,0.03,0.07,0.10,0.03,0.10,0.09,0.07,0.16,0.09,0.16,Matches
17,Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,13,12,1095,12.2,1,2,3,1,0,0,2,0,0.9,0.9,2.0,2.9,24,56,92,0.08,0.16,0.25,0.08,0.25,0.07,0.16,0.24,0.07,0.24,Matches
18,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,34,28,2470,27.4,1,2,3,1,0,0,2,0,3.8,3.8,4.2,8.0,114,68,155,0.04,0.07,0.11,0.04,0.11,0.14,0.15,0.29,0.14,0.29,Matches
19,Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,27,23,2118,23.5,1,3,4,1,0,0,2,0,1.4,1.4,2.5,3.9,14,155,19,0.04,0.13,0.17,0.04,0.17,0.06,0.11,0.16,0.06,0.16,Matches
20,Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,33,32,2821,31.3,4,8,12,4,0,0,8,0,2.9,2.9,5.5,8.4,35,151,48,0.13,0.26,0.38,0.13,0.38,0.09,0.18,0.27,0.09,0.27,Matches
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,8,7,634,7.0,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,3,26,3,0.00,0.14,0.14,0.00,0.14,0.01,0.01,0.02,0.01,0.02,Matches
22,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,12,10,924,10.3,0,1,1,0,0,0,2,0,0.2,0.2,1.8,2.0,24,29,62,0.00,0.10,0.10,0.00,0.10,0.02,0.18,0.20,0.02,0.20,Matches
23,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,12,5,483,5.4,1,0,1,1,0,0,1,0,3.2,3.2,0.8,4.0,12,7,43,0.19,0.00,0.19,0.19,0.19,0.59,0.15,0.74,0.59,0.74,Matches
24,Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,31,31,2731,30.3,2,3,5,2,0,0,10,0,2.2,2.2,2.3,4.5,52,161,25,0.07,0.10,0.16,0.07,0.16,0.07,0.08,0.15,0.07,0.15,Matches
25,Matthias Bader,de GER,DF,Köln,22,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Daniel Baier,de GER,MF,Augsburg,35,1984,23,22,1941,21.6,1,0,1,1,0,0,6,0,0.5,0.5,0.9,1.4,7,77,12,0.05,0.00,0.05,0.05,0.05,0.02,0.04,0.07,0.02,0.07,Matches
27,Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,22,12,1090,12.1,5,3,8,5,0,0,0,2,4.3,4.3,2.2,6.5,61,36,132,0.41,0.25,0.66,0.41,0.66,0.36,0.18,0.54,0.36,0.54,Matches
28,Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,8,7,545,6.1,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,10,23,6,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.09,0.18,Matches
