rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
42,Timo Becker,de GER,"DF,MF",Schalke 04,22,1997,3.7,0,4,1,25.0,1.07,0.27,0.00,0.00,14.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
43,Maximilian Beier,de GER,FW,Hoffenheim,16,2002,1.2,0,5,3,60.0,4.13,2.48,0.00,0.00,14.8,0,0,0,1.1,1.1,0.22,-1.1,-1.1,Matches
44,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,27,1992,3.0,0,10,2,20.0,3.35,0.67,0.00,0.00,13.5,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
45,Karim Bellarabi,de GER,"FW,DF",Leverkusen,29,1990,15.8,4,54,24,44.4,3.41,1.52,0.07,0.17,16.5,0,0,0,6.4,6.4,0.12,-2.4,-2.4,Matches
46,Lars Bender,de GER,"DF,MF",Leverkusen,30,1989,15.3,2,15,2,13.3,0.98,0.13,0.13,1.00,14.1,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Matches
47,Sven Bender,de GER,DF,Leverkusen,30,1989,30.3,2,17,4,23.5,0.56,0.13,0.12,0.50,11.5,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches
48,László Bénes,sk SVK,MF,Gladbach,21,1997,10.0,0,23,6,26.1,2.31,0.60,0.00,0.00,23.0,6,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches
49,Keanan Bennetts,eng ENG,MF,Gladbach,20,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
50,Ramy Bensebaini,dz ALG,DF,Gladbach,24,1995,16.1,5,21,8,38.1,1.31,0.50,0.14,0.38,17.3,2,2,2,4.4,2.8,0.13,+0.6,+0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Valon Berisha,xk KVX,MF,Düsseldorf,26,1993,10.5,0,12,2,16.7,1.15,0.19,0.00,0.00,20.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
52,Jordan Beyer,de GER,DF,Gladbach,19,2000,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Ermin Bičakčić,ba BIH,DF,Hoffenheim,29,1990,13.1,2,7,2,28.6,0.54,0.15,0.29,1.00,11.9,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Matches
54,Leonardo Bittencourt,de GER,MF,Hoffenheim,25,1993,0.0,0,1,0,0.0,30.00,0.00,0.00,,20.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
