rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
15,Ajibola Alese,eng ENG,DF,Sunderland,21,2001,15.6,589,759,77.6,9149,3661,309,346,235,305,30,72,0,0.8,0.6,-0.8,11,44,7,3,58,Matches
16,Jamie Allen,eng ENG,MF,Coventry City,27,1995,31.3,757,939,80.6,10807,2985,448,521,240,287,27,46,2,2.8,2.3,-0.8,28,93,14,3,97,Matches
17,Joe Allen,wls WAL,MF,Swansea City,32,1990,13.7,664,781,85.0,10224,2442,347,376,261,293,28,66,1,0.9,1.0,+0.1,13,56,3,0,66,Matches
18,Ryan Allsop,eng ENG,GK,Cardiff City,30,1992,42.7,997,1715,58.1,32288,24780,193,195,389,397,412,1118,0,0.0,0.2,0.0,2,79,1,0,1,Matches
19,Jak Alnwick,eng ENG,GK,Cardiff City,29,1993,3.3,42,115,36.5,1889,1587,3,3,11,11,28,99,0,0.0,0.0,0.0,0,4,0,0,0,Matches
20,Jordan Amissah,gh GHA,GK,Sheffield Utd,20,2001,0.1,2,8,25.0,29,11,1,1,1,1,0,6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
21,Ben Amos,eng ENG,GK,Wigan Athletic,32,1990,28.6,541,893,60.6,17101,13462,136,137,157,162,230,575,0,0.0,0.1,0.0,0,22,0,0,0,Matches
22,Luke Amos,eng ENG,"MF,FW",QPR,25,1997,9.9,238,323,73.7,3648,1057,130,152,86,112,14,34,0,0.8,0.6,-0.8,4,23,3,0,37,Matches
23,Joe Anderson,eng ENG,"DF,MF",Sunderland,21,2001,0.5,25,29,86.2,402,198,15,16,8,10,2,3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
24,Keshi Anderson,eng ENG,MF,Blackpool,27,1995,4.8,182,223,81.6,3075,897,84,101,74,90,18,21,2,0.6,0.5,+1.4,9,18,10,0,32,Matches
