rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
111,Rafael Carioca,br BRA,MF,UANL,33,1989,21.5,37,20,15,17,5,19,37,18,14,3,11,12,49,9,1,Matches
112,Gonzalo Carneiro,uy URU,FW,Cruz Azul,26,1995,11.1,15,11,1,8,6,6,17,11,12,3,9,1,16,9,0,Matches
113,Ramiro Carrera,ar ARG,"MF,FW",Cruz Azul,28,1993,3.0,7,4,2,3,2,3,7,4,3,0,3,2,9,0,0,Matches
114,Jordan Carrillo,mx MEX,"MF,DF",Santos,20,2001,1.2,1,1,1,0,0,1,4,3,0,0,0,2,3,0,0,Matches
115,Kevin Castañeda,mx MEX,MF,Tijuana,22,1999,3.9,6,2,1,5,0,4,10,6,2,1,1,4,10,0,0,Matches
116,Byron Castillo,ec ECU,DF,León,23,1998,15.7,27,18,16,9,2,13,17,4,11,3,8,13,40,25,0,Matches
117,Fabián Castillo,co COL,FW,Tijuana,30,1992,2.4,6,5,2,4,0,1,2,1,1,1,0,0,6,1,0,Matches
118,José Castillo Pérez,mx MEX,DF,Pachuca,20,2001,13.3,35,29,24,10,1,22,28,6,11,2,9,17,52,49,0,Matches
119,Raúl Castillo,mx MEX,MF,Puebla,20,2001,0.7,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,Matches
120,Lucas Cavallini,ca CAN,FW,Tijuana,29,1992,8.0,10,6,2,4,4,4,7,3,3,2,1,1,11,13,0,Matches
121,Enrique Cedillo,mx MEX,DF,Mazatlán,26,1996,4.8,13,8,12,1,0,5,8,3,2,2,0,10,23,18,0,Matches
122,Julien Celestine,fr FRA,DF,León,25,1997,3.3,3,1,3,0,0,2,3,1,5,4,1,1,4,14,0,Matches
123,Alan Cervantes,mx MEX,MF,Santos,24,1998,24.2,33,17,13,20,0,9,34,25,34,14,20,41,74,27,1,Matches
124,Daniel Cervantes,mx MEX,DF,Querétaro,32,1990,3.5,6,4,5,1,0,2,2,0,4,2,2,7,13,12,0,Matches
