round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Serie A,31,Sat,2023-04-22,20:45,Sampdoria,1.4,1–1,2.5,Spezia,19181,Stadio Comunale Luigi Ferraris,Fabio Maresca,Match Report,
Serie A,31,Sun,2023-04-23,12:30,Empoli,0.9,0–3,1.1,Inter,15337,Stadio Carlo Castellani,Livio Marinelli,Match Report,
Serie A,31,Sun,2023-04-23,15:00,Monza,1.5,3–2,1.3,Fiorentina,13118,U-Power Stadium,Juan Sacchi,Match Report,
Serie A,31,Sun,2023-04-23,15:00,Udinese,1.6,3–0,0.9,Cremonese,23455,Dacia Arena,Francesco Fourneau,Match Report,
Serie A,31,Sun,2023-04-23,18:00,Milan,0.8,2–0,1.2,Lecce,72614,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
Serie A,31,Sun,2023-04-23,20:45,Juventus,0.4,0–1,1.2,Napoli,39839,Allianz Stadium,Michael Fabbri,Match Report,
Serie A,31,Mon,2023-04-24,20:45,Atalanta,0.9,3–1,1.0,Roma,19445,Gewiss Stadium,Massimiliano Irrati,Match Report,
Serie A,32,Fri,2023-04-28,18:30,Lecce,2.0,1–0,0.7,Udinese,23069,Stadio Comunale Via Del Mare,Matteo Marchetti,Match Report,
Serie A,32,Fri,2023-04-28,20:45,Spezia,1.7,0–2,0.9,Monza,9200,Stadio Alberto Picco,Antonio Rapuano,Match Report,
Serie A,32,Sat,2023-04-29,18:00,Roma,1.0,1–1,1.0,Milan,64191,Stadio Olimpico,Daniele Orsato,Match Report,
Serie A,32,Sat,2023-04-29,20:45,Torino,0.3,1–2,0.5,Atalanta,20196,Stadio Olimpico di Torino,Juan Sacchi,Match Report,
Serie A,32,Sun,2023-04-30,12:30,Inter,3.1,3–1,0.8,Lazio,75500,Stadio Giuseppe Meazza,Marco Guida,Match Report,
